iter	Accuracy	Logloss
0	0.9476584022	0.5409146787
1	0.9504132231	0.4326467695
2	0.9641873278	0.3579582077
3	0.955922865	0.3076325346
4	0.9614325069	0.267310829
5	0.9669421488	0.2297335637
6	0.9696969697	0.194172662
7	0.9834710744	0.1641299606
8	0.9862258953	0.1419639264
9	0.9862258953	0.1287138636
10	0.9862258953	0.1190126313
11	0.9889807163	0.1081995465
12	0.9889807163	0.09960318044
13	0.9889807163	0.09096573546
14	0.9917355372	0.08348260893
15	0.9917355372	0.0753979671
16	0.9917355372	0.07030412187
17	0.9944903581	0.06595037276
18	0.9972451791	0.06048517027
